iter	Logloss
0	0.652501508
1	0.6137295574
2	0.5803674442
3	0.5467638039
4	0.51767767
5	0.4928459231
6	0.4662728009
7	0.4437201836
8	0.4223218093
9	0.4038821294
10	0.3853101133
11	0.3694244781
12	0.3514429058
13	0.3381187648
14	0.3240714981
15	0.3134788118
16	0.3029241767
17	0.2925724724
18	0.2828929399
19	0.274444024
20	0.2666319739
21	0.2588116676
22	0.2513374419
23	0.2452209957
24	0.2394909102
25	0.2347728502
26	0.2304253903
27	0.2262577701
28	0.2221730796
29	0.2177402211
30	0.213254456
31	0.2095014584
32	0.2058880401
33	0.2022582956
34	0.199563897
35	0.1966605531
36	0.1937657749
37	0.1908040359
38	0.1883908261
39	0.1859220639
40	0.1835545508
41	0.1816715255
42	0.1796586283
43	0.1778479179
44	0.1762235706
45	0.1743266637
46	0.1731974533
47	0.1715864018
48	0.1699384451
49	0.168586338
50	0.1673407337
51	0.1659417195
52	0.1647519536
53	0.1638179253
54	0.1628073376
55	0.1619979676
56	0.160943373
57	0.1597214307
58	0.1585083707
59	0.1575909028
60	0.1568474821
61	0.1557723654
62	0.1547988824
63	0.1539385247
64	0.1532327415
65	0.1525210781
66	0.1519479919
67	0.1510728011
68	0.1504244964
69	0.1496591124
70	0.1488610956
71	0.1482882064
72	0.1474562023
73	0.1468192507
74	0.1463945008
75	0.1456845208
76	0.1451758645
77	0.1445768623
78	0.1439711326
79	0.1436630473
80	0.1430208612
81	0.14254652
82	0.1420259763
83	0.1415099928
84	0.1413491083
85	0.1410103684
86	0.1410095935
87	0.1407966259
88	0.1405394011
89	0.1403737276
90	0.1398247955
91	0.1396420464
92	0.1394037192
93	0.1393818398
94	0.1391033636
95	0.1386599022
96	0.1381832285
97	0.1378190938
98	0.1373923941
99	0.1370646735
100	0.136666471
101	0.1362020954
102	0.1359678602
103	0.135731875
104	0.1354005692
105	0.1350926953
106	0.1349041494
107	0.1345008042
108	0.1341636147
109	0.133813284
110	0.1335592037
111	0.1331901034
112	0.132920583
113	0.1328143303
114	0.132274651
115	0.1319669362
116	0.13171252
117	0.1315262792
118	0.1312963579
119	0.1310019503
120	0.1308331301
121	0.1305149065
122	0.1305148457
123	0.1302996851
124	0.1301684127
125	0.1297693971
126	0.1295830669
127	0.1293442602
128	0.129038607
129	0.1287347329
130	0.1283962529
131	0.1281695785
132	0.1279566212
133	0.1278009065
134	0.1276339074
135	0.1273225362
136	0.1271400697
